ID,Nome,Codice,Verniciati,Scorta
375,"PIASTRA CIECA AG INS. LATERALE 1600X800","AG-PA1608L",0,10
382,"PIASTRA CIECA AG INS. LATERALE 1800X1000","AG-PA1810L",0,10
383,"PIASTRA CIECA AG INS. LATERALE 1800X1200","AG-PA1812L",0,10
385,"PIASTRA CIECA AG INS. LATERALE 2000X1000","AG-PA2010L",0,10
386,"PIASTRA CIECA AG INS. LATERALE 2000X1200","AG-PA2012L",0,10
384,"PIASTRA CIECA AG INS. LATERALE 2000X800","AG-PA2008L",0,10
338,"PIASTRA CIECA AG INS. LATERALE 300X2000","AG-PA0320L",0,10
339,"PIASTRA CIECA AG INS. LATERALE 400X1400","AG-PA0414L",0,10
340,"PIASTRA CIECA AG INS. LATERALE 400X1600","AG-PA0416L",0,10
341,"PIASTRA CIECA AG INS. LATERALE 400X1800","AG-PA0418L",0,10
342,"PIASTRA CIECA AG INS. LATERALE 400X2000","AG-PA0420L",0,10
343,"PIASTRA CIECA AG INS. LATERALE 400X2200","AG-PA0422L",0,10
344,"PIASTRA CIECA AG INS. LATERALE 600X1000","AG-PA0610L",0,10
345,"PIASTRA CIECA AG INS. LATERALE 600X1200","AG-PA0612L",0,10
346,"PIASTRA CIECA AG INS. LATERALE 600X1400","AG-PA0614L",0,10
347,"PIASTRA CIECA AG INS. LATERALE 600X1600","AG-PA0616L",0,10
348,"PIASTRA CIECA AG INS. LATERALE 600X1800","AG-PA0618L",0,10
349,"PIASTRA CIECA AG INS. LATERALE 600X2000","AG-PA0620L",0,10
350,"PIASTRA CIECA AG INS. LATERALE 600X2200","AG-PA0622L",0,10
351,"PIASTRA CIECA AG INS. LATERALE 800X1000","AG-PA0810L",0,10
352,"PIASTRA CIECA AG INS. LATERALE 800X1200","AG-PA0812L",0,10
353,"PIASTRA CIECA AG INS. LATERALE 800X1400","AG-PA0814L",0,10
354,"PIASTRA CIECA AG INS. LATERALE 800X1600","AG-PA0816L",0,10
355,"PIASTRA CIECA AG INS. LATERALE 800X1800","AG-PA0818L",0,10
356,"PIASTRA CIECA AG INS. LATERALE 800X2000","AG-PA0820L",0,10
357,"PIASTRA CIECA AG INS. LATERALE 800X2200","AG-PA0822L",0,10
129,"PORTA 1000X1000","AG-PO1010",0,10
130,"PORTA 1000X1200","AG-PO1012",0,10
131,"PORTA 1000X1400","AG-PO1014",0,10
132,"PORTA 1000X1600","AG-PO1016",0,10
133,"PORTA 1000X1800","AG-PO1018",0,10
134,"PORTA 1000X2000","AG-PO1020",0,10
135,"PORTA 1000X2200","AG-PO1022",0,10
108,"PORTA 200X1800","AG-PO0218",0,10
109,"PORTA 300X1800","AG-PO0318",0,10
110,"PORTA 300X2000","AG-PO0320",0,10
111,"PORTA 400X1600","AG-PO0416",0,10
112,"PORTA 400X1800","AG-PO0418",0,10
113,"PORTA 400X2000","AG-PO0420",0,10
114,"PORTA 400X2200","AG-PO0422",0,10
115,"PORTA 600X1000","AG-PO0610",0,10
116,"PORTA 600X1200","AG-PO0612",0,10
117,"PORTA 600X1400","AG-PO0614",0,10
118,"PORTA 600X1600","AG-PO0616",0,10
119,"PORTA 600X1800","AG-PO0618",0,10
120,"PORTA 600X2000","AG-PO0620",0,10
121,"PORTA 600X2200","AG-PO0622",0,10
122,"PORTA 800X1000","AG-PO0810",0,10
123,"PORTA 800X1200","AG-PO0812",0,10
124,"PORTA 800X1400","AG-PO0814",0,10
125,"PORTA 800X1600","AG-PO0816",0,10
126,"PORTA 800X1800","AG-PO0818",0,10
127,"PORTA 800X2000","AG-PO0820",0,10
128,"PORTA 800X2200","AG-PO0822",0,10
55,"PORTA AT 1000X1000 CB","AT-PO1010-CB",0,10
54,"PORTA AT 1000X1000 IB","AT-PO1010-IB",0,10
57,"PORTA AT 1000X1200 CB","AT-PO1012-CB",0,10
56,"PORTA AT 1000X1200 IB","AT-PO1012-IB",0,10
59,"PORTA AT 1000X1400 CB","AT-PO1014-CB",0,10
58,"PORTA AT 1000X1400 IB","AT-PO1014-IB",0,10
53,"PORTA AT 1000X800 CB","AT-PO1008-CB",0,10
52,"PORTA AT 1000X800 IB","AT-PO1008-IB",0,10
63,"PORTA AT 1200X1000 CB","AT-PO1210-CB",0,10
62,"PORTA AT 1200X1000 IB","AT-PO1210-IB",0,10
65,"PORTA AT 1200X1200 CB","AT-PO1212-CB",0,10
64,"PORTA AT 1200X1200 IB","AT-PO1212-IB",0,10
61,"PORTA AT 1200X800 CB","AT-PO1208-CB",0,10
60,"PORTA AT 1200X800 IB","AT-PO1208-IB",0,10
28,"PORTA AT 200X300 STD","AT-PO0203-STD",0,10
29,"PORTA AT 250X300 STD","AT-PO02503-STD",0,10
30,"PORTA AT 300X300 STD","AT-PO0303-STD",0,10
31,"PORTA AT 300X400 STD","AT-PO0304-STD",0,10
32,"PORTA AT 300X500 STD","AT-PO0305-STD",0,10
33,"PORTA AT 400X300 STD","AT-PO0403-STD",0,10
34,"PORTA AT 400X400 STD","AT-PO0404-STD",0,10
35,"PORTA AT 400X500 STD","AT-PO0405-STD",0,10
36,"PORTA AT 400X600 STD","AT-PO0406-STD",0,10
37,"PORTA AT 500X500 STD","AT-PO0505-STD",0,10
38,"PORTA AT 500X700 STD","AT-PO0507-STD",0,10
42,"PORTA AT 600X1000 STD","AT-PO0610-STD",0,10
43,"PORTA AT 600X1200 STD","AT-PO0612-STD",0,10
39,"PORTA AT 600X400 STD","AT-PO0604-STD",0,10
40,"PORTA AT 600X600 STD","AT-PO0606-STD",0,10
41,"PORTA AT 600X800 STD","AT-PO0608-STD",0,10
49,"PORTA AT 800X1000 CB","AT-PO0810-CB",0,10
48,"PORTA AT 800X1000 IB","AT-PO0810-IB",0,10
51,"PORTA AT 800X1200 CB","AT-PO0812-CB",0,10
50,"PORTA AT 800X1200 IB","AT-PO0812-IB",0,10
45,"PORTA AT 800X600 CB","AT-PO0806-CB",0,10
44,"PORTA AT 800X600 IB","AT-PO0806-IB",0,10
47,"PORTA AT 800X800 CB","AT-PO0808-CB",0,10
46,"PORTA AT 800X800 IB","AT-PO0808-IB",0,10
235,"PORTA CIECA AG L1000 H1000 CON BATTUTA","AG-PO1010CB",4,0
234,"PORTA CIECA AG L1000 H1000 IN BATTUTA","AG-PO1010IB",4,0
233,"PORTA CIECA AG L1000 H800 CON BATTUTA","AG-PO1008CB",0,0
232,"PORTA CIECA AG L1000 H800 IN BATTUTA","AG-PO1008IB",0,0
165,"PORTA CIECA AG L400 H1200 CON BATTUTA","AG-PO0412CB",0,0
164,"PORTA CIECA AG L400 H1200 IN BATTUTA","AG-PO0412IB",0,0
167,"PORTA CIECA AG L400 H1600 CON BATTUTA","AG-PO0416CB",0,0
166,"PORTA CIECA AG L400 H1600 IN BATTUTA","AG-PO0416IB",0,0
169,"PORTA CIECA AG L400 H1800 CON BATTUTA","AG-PO0418CB",1,0
168,"PORTA CIECA AG L400 H1800 IN BATTUTA","AG-PO0418IB",1,0
171,"PORTA CIECA AG L400 H2000 CON BATTUTA","AG-PO0420CB",3,0
170,"PORTA CIECA AG L400 H2000 IN BATTUTA","AG-PO0420IB",3,0
173,"PORTA CIECA AG L400 H2200 CON BATTUTA","AG-PO0422CB",1,0
172,"PORTA CIECA AG L400 H2200 IN BATTUTA","AG-PO0422IB",1,0
175,"PORTA CIECA AG L500 H1000 CON BATTUTA","AG-PO0510CB",3,0
174,"PORTA CIECA AG L500 H1000 IN BATTUTA","AG-PO0510IB",2,0
177,"PORTA CIECA AG L500 H1200 CON BATTUTA","AG-PO0512CB",1,0
176,"PORTA CIECA AG L500 H1200 IN BATTUTA","AG-PO0512IB",1,0
179,"PORTA CIECA AG L500 H1400 CON BATTUTA","AG-PO0514CB",2,5
178,"PORTA CIECA AG L500 H1400 IN BATTUTA","AG-PO0514IB",2,5
181,"PORTA CIECA AG L500 H1600 CON BATTUTA","AG-PO0516CB",1,0
180,"PORTA CIECA AG L500 H1600 IN BATTUTA","AG-PO0516IB",1,0
183,"PORTA CIECA AG L500 H1800 CON BATTUTA","AG-PO0518CB",2,3
182,"PORTA CIECA AG L500 H1800 IN BATTUTA","AG-PO0518IB",4,3
185,"PORTA CIECA AG L500 H2000 CON BATTUTA","AG-PO0520CB",4,5
184,"PORTA CIECA AG L500 H2000 IN BATTUTA","AG-PO0520IB",4,5
